Folder_ID	Encoding_Vector
124_O	1 0.447368 0.552632 0.205128 0.576923 0.217949 0.240741 0.462963 0.296296 0.141026 0.628205 0.230769 0.0869565 0.427536 0.384058 0.101449 0.0648148 0.388889 0.5 0.0462963 0.111111 0.344444 0.433333 0.111111 0.0526316 0.394737 0.5 0.0526316 
125	1 0.447368 0.552632 0.230769 0.538462 0.230769 0.240741 0.481481 0.277778 0.192308 0.538462 0.269231 0.108696 0.413043 0.384058 0.0942029 0.111111 0.361111 0.444444 0.0833333 0.0888889 0.433333 0.333333 0.144444 0.0789474 0.5 0.315789 0.105263 
125_O	1 0.578947 0.421053 0.448718 0.435897 0.115385 0.407407 0.462963 0.12963 0.371795 0.410256 0.217949 0.326087 0.405797 0.231884 0.0362319 0.333333 0.37963 0.240741 0.0462963 0.3 0.366667 0.288889 0.0444444 0.289474 0.421053 0.184211 0.105263 
126	1 0.605263 0.394737 0.397436 0.461538 0.141026 0.407407 0.481481 0.111111 0.346154 0.538462 0.115385 0.253623 0.478261 0.217391 0.0507246 0.268519 0.435185 0.25 0.0462963 0.222222 0.477778 0.277778 0.0222222 0.289474 0.447368 0.263158 0 
126_O	1 0.447368 0.552632 0.192308 0.538462 0.269231 0.185185 0.62963 0.185185 0.230769 0.461538 0.307692 0.0434783 0.449275 0.434783 0.0724638 0.111111 0.342593 0.407407 0.138889 0.0555556 0.411111 0.455556 0.0777778 0.184211 0.421053 0.263158 0.131579 
127	1 0.526316 0.473684 0.217949 0.551282 0.230769 0.240741 0.537037 0.222222 0.25641 0.551282 0.192308 0.0797101 0.427536 0.384058 0.108696 0.0740741 0.472222 0.342593 0.111111 0.1 0.388889 0.433333 0.0777778 0.0789474 0.421053 0.447368 0.0526316 
127_O	1 0.473684 0.526316 0.24359 0.448718 0.307692 0.185185 0.537037 0.277778 0.192308 0.576923 0.230769 0.115942 0.347826 0.355072 0.181159 0.0925926 0.37037 0.361111 0.175926 0.0444444 0.433333 0.388889 0.133333 0.0526316 0.421053 0.447368 0.0789474 
128	1 0.631579 0.368421 0.423077 0.448718 0.128205 0.407407 0.518519 0.0740741 0.423077 0.448718 0.128205 0.268116 0.492754 0.195652 0.0434783 0.333333 0.37963 0.25 0.037037 0.233333 0.5 0.255556 0.0111111 0.342105 0.394737 0.236842 0.0263158 
128_O	1 0.552632 0.447368 0.25641 0.564103 0.179487 0.351852 0.388889 0.259259 0.294872 0.538462 0.166667 0.152174 0.405797 0.355072 0.0869565 0.111111 0.481481 0.351852 0.0555556 0.2 0.355556 0.311111 0.133333 0.157895 0.447368 0.315789 0.0789474 
129	1 0.421053 0.578947 0.192308 0.512821 0.294872 0.203704 0.5 0.296296 0.115385 0.602564 0.282051 0.0869565 0.34058 0.42029 0.152174 0.0555556 0.361111 0.472222 0.111111 0.0666667 0.344444 0.466667 0.122222 0 0.368421 0.552632 0.0789474 
129_O	1 0.5 0.5 0.166667 0.641026 0.192308 0.240741 0.481481 0.277778 0.282051 0.435897 0.282051 0.057971 0.405797 0.463768 0.0724638 0.0555556 0.444444 0.388889 0.111111 0.122222 0.4 0.3 0.177778 0.157895 0.263158 0.447368 0.131579 
12_O	1 0.5 0.5 0.205128 0.525641 0.269231 0.148148 0.611111 0.240741 0.269231 0.448718 0.282051 0.0434783 0.384058 0.449275 0.123188 0.101852 0.342593 0.407407 0.148148 0.0666667 0.366667 0.466667 0.1 0.105263 0.263158 0.368421 0.263158 
13	1 0.473684 0.526316 0.128205 0.589744 0.282051 0.222222 0.481481 0.296296 0.192308 0.551282 0.25641 0.0362319 0.34058 0.485507 0.137681 0.037037 0.324074 0.527778 0.111111 0.1 0.288889 0.455556 0.155556 0.0526316 0.394737 0.447368 0.105263 
130	1 0.578947 0.421053 0.358974 0.5 0.141026 0.333333 0.518519 0.148148 0.333333 0.474359 0.192308 0.202899 0.456522 0.297101 0.0434783 0.194444 0.490741 0.240741 0.0740741 0.222222 0.377778 0.366667 0.0333333 0.184211 0.421053 0.342105 0.0526316 
130_O	1 0.526316 0.473684 0.269231 0.525641 0.205128 0.296296 0.5 0.203704 0.25641 0.564103 0.179487 0.152174 0.384058 0.398551 0.0652174 0.138889 0.444444 0.342593 0.0740741 0.133333 0.4 0.4 0.0666667 0.0789474 0.578947 0.289474 0.0526316 
131	1 0.552632 0.447368 0.333333 0.461538 0.205128 0.259259 0.611111 0.12963 0.333333 0.474359 0.192308 0.173913 0.434783 0.34058 0.0507246 0.212963 0.351852 0.351852 0.0833333 0.111111 0.511111 0.344444 0.0333333 0.236842 0.473684 0.210526 0.0789474 
131_O	1 0.447368 0.552632 0.205128 0.448718 0.346154 0.166667 0.555556 0.277778 0.179487 0.551282 0.269231 0.101449 0.282609 0.442029 0.173913 0.0925926 0.268519 0.472222 0.166667 0.0555556 0.322222 0.511111 0.111111 0.0789474 0.368421 0.473684 0.0789474 
132	1 0.473684 0.526316 0.269231 0.487179 0.24359 0.277778 0.407407 0.314815 0.25641 0.435897 0.307692 0.181159 0.304348 0.376812 0.137681 0.148148 0.342593 0.388889 0.12037 0.188889 0.322222 0.288889 0.2 0.131579 0.289474 0.421053 0.157895 
132_O	1 0.473684 0.526316 0.166667 0.551282 0.282051 0.240741 0.481481 0.277778 0.205128 0.538462 0.25641 0.0507246 0.376812 0.434783 0.137681 0.037037 0.425926 0.425926 0.111111 0.111111 0.288889 0.455556 0.144444 0.0789474 0.368421 0.447368 0.105263 
133	1 0.552632 0.447368 0.282051 0.589744 0.128205 0.333333 0.425926 0.240741 0.320513 0.474359 0.205128 0.15942 0.449275 0.34058 0.0507246 0.12963 0.481481 0.361111 0.0277778 0.211111 0.388889 0.266667 0.133333 0.210526 0.342105 0.342105 0.105263 
133_O	1 0.552632 0.447368 0.24359 0.551282 0.205128 0.259259 0.5 0.240741 0.320513 0.435897 0.24359 0.115942 0.347826 0.456522 0.0797101 0.101852 0.453704 0.324074 0.12037 0.166667 0.344444 0.355556 0.133333 0.157895 0.289474 0.342105 0.210526 
134	1 0.578947 0.421053 0.384615 0.512821 0.102564 0.37037 0.462963 0.166667 0.320513 0.512821 0.166667 0.231884 0.485507 0.253623 0.0289855 0.212963 0.490741 0.268519 0.0277778 0.233333 0.455556 0.244444 0.0666667 0.210526 0.447368 0.263158 0.0789474 
134_O	1 0.368421 0.631579 0.0512821 0.576923 0.371795 0.185185 0.314815 0.5 0.192308 0.346154 0.461538 0.00724638 0.246377 0.478261 0.268116 0.00925926 0.277778 0.444444 0.268519 0.122222 0.166667 0.333333 0.377778 0.105263 0.157895 0.315789 0.421053 
135	1 0.684211 0.315789 0.525641 0.371795 0.102564 0.518519 0.407407 0.0740741 0.461538 0.448718 0.0897436 0.398551 0.384058 0.195652 0.0217391 0.37037 0.472222 0.12037 0.037037 0.333333 0.5 0.133333 0.0333333 0.368421 0.394737 0.236842 0 
